80889,(#1.66),,7,1980,,,80815,1,66,,4de45f35edf0b753c54ab72dcbe68bb5
5156,Josie Duggar's 1st Shoes,,7,2010,,J2326,5022,4,13,,8d492850166137b550ceb0e9a5b46086
1893613,Flags of All Nations,,1,1899,,F4214,,,,,5f14c16296eca463c183fa845c23b680
111913,(2012-09-13),,7,2012,,,111095,,,,daf144630ef1ab1cd5d1d028b406cdcf
2423903,The Ventriloquist,I,1,2012,,V5364,,,,,f9309fe7786f2857ad6623f8fad590ba
2008398,Játék a szerelemmel,,1,1959,,J3264,,,,,80936e4eeba111e20d76870446957f1f
1401502,Uncle Harry's Visit,,7,1954,,U5246,1401462,1,15,,13be2cd4c7ecc4061916287ec90949d8
149337,Mellody Hobson,,7,2005,,M4312,149328,1,8,,5bf869eaffa411fdc51e06c2020952d5
32020,Kiss Me Kate,,7,2011,,K2523,32014,1,10,,293e8c75c7f35a4035abf617962be5a9
36858,(2012-09-11),,7,2012,,,36138,,,,7c4d73fbab6bf1bbf3cb3958c5f975a9
1579054,Spring Fling: Las Vegas 5,,7,2011,,S1652,1575520,28,145,,05028b4866efd8d7ede09bcfd2065164
1639116,2076,,4,2012,,,,,,,5f54c09e4c0d6f093ed67bf5b770e044
1440424,Who Wants to Be a Millionaire?,,7,1975,,W5323,1440414,1,2,,52c2f3c9357d91ab1be0814f9e93cedd
2278392,Shadows of Tears,,4,2005,,S3213,,,,,4fa41f6ef1e10155bf526419321d00b0
2140109,My Wife Is a Call Girl,,4,1990,,M1242,,,,,f38873be49a06b536200c1ec85293244
1869147,Engaged,,1,2008,,E523,,,,,3f8516c501ea13884cff959f62d354c9
372042,Dead or Alive,,7,2011,,D3641,371445,13,138,,22c438aa50391f5ca39bd5bd3c0430e0
569656,Celos,,7,2009,,C42,569625,1,32,,becf83d7a45cfcb47b18609a5495b7f2
165729,Blowout,,2,2004,,B43,,,,2004-????,d047de6e356eef4efcc36541cb121a61
2424041,The Victim,,1,1930,,V235,,,,,e97cda7795a797e7dc60420b0af85481
122463,Christmas Special,,7,2006,,C6235,122400,8,11,,c848c27c04725bef4794a0178b4a6660
2175823,One More Bottle,,1,2013,,O5613,,,,,bdb113b9fe6d4da3aa4d3604ed48dd10
1436934,Elegy,,7,1960,,E42,1436908,1,20,,9cad5e795c88aa869107a0b6da614e67
1912250,Gaw khoey sanyaa,,1,2005,,G25,,,,,22d7ef6a62d9fd1b088f8b8de9e3dfc6
2364155,The Dreaming,,1,1988,,D652,,,,,f8c5a56395f8d63d354e6f90a19832f4
2489899,Wayward Sons: Legends,,1,,,W6325,,,,,969412fc9834e6777145c8a47fc5ba30
11566,(#1.8),,7,2012,,,11555,1,8,,ff1f7f30f7745185cc132faebf6ff616
579413,One Fowl Day,,7,1998,,O5143,579356,4,17,,e7ba8a2d6f83bde871136421fd43ecda
62387,The Breaking Point/Working Class People/The Voter's Choice: Part 3,,7,1990,,B6252,62368,3,3,,8cc4d380db8007ade9ba56c1ae425a4f
85015,(#1.190),,7,2002,,,84913,1,190,,1ad2308948521ed682e17c0c6c3443cf
81082,The Weight: Part 1,,7,2004,,W2316,80989,5,1,,30a18346d8c8e0c540c8f551c50da699
2476046,Verbotenes Verlangen - Ich liebe meinen Schüler,,3,2000,,V6135,,,,,3c44f6bf8423884825287b7d3b34662b
151441,Big Brother Suomi,,2,2011,,B2163,,,,2011-????,6391d3c38753be66b294948b3aa4fd4c
1261295,Aurora busca venganza,,7,2010,,A6121,1261280,1,56,,62afdcfbe4b57257f59c838a651025e0
1101099,A Man Room for Tyvi,,7,2011,,M5651,1101094,2,12,,c8e2715ce2c5dabf6812c87d2ee2f8b2
2119059,MILFs and Their Toys 5,,4,2009,,M4125,,,,,34c3161713e41d92b600d1cdcbd6da7b
402255,Campground Cookout,,7,,,C5126,402242,2,10,,7cd6064e822c4a32c505f2e1b062623e
116833,Halve Finale #1,,7,2009,,H4154,116831,1,1,,82fec9563ad32c9451c2a17c47179a12
597424,(1999-09-28),,7,1999,,,597251,,,,ed3461ecbe3b56eea188a4dabb35558c
1634701,10 Cent Pistol,,1,2013,,C5312,,,,,7e9153faf4a152ddf4cc005fd152bdf1
33079,Cloned Puppies: A New Generation of 'Trakrs',,7,2009,,C4531,32442,,,,e13740a30a18f2fadd9b0883acf2129f
618147,Defences,,7,,,D152,618133,1,2,,34ff31e2bd23132d140be2ab914bc9ef
1983415,Indiana Jack,,6,2003,,I5352,,,,,406ce4b8770bba91cefbff949e16670a
567630,(2004-02-27),,7,2004,,,567611,,,,d8fc82ad1429a72a1e834fe0dc4d7a71
20232,Baby Manning,,7,1998,,B152,20037,,,,825389d4e35f378f950238020942782e
920836,(#1.130),,7,2009,,,920800,1,130,,bcdbe8b28edd81cc945d0691fc92d176
584408,If She Catches the Bouquet I'll Die,,7,1966,,I1232,584395,,,,e58d20c70ce20b96448b0335ffbfa1b7
2494523,What the Dickens!,,3,1983,,W3252,,,,,12bedfdf491d6eb9d7fde0ec5f5b187b
1500948,Souped Up Civic: Suspension Upgrade,,7,,,S1312,1500910,1,1,,84a42b6fdd8f425b7e424fc8bd43f46a
2442456,Tony Bennett: Duets - The Making of an American Classic,,4,2006,,T5153,,,,,41c8c722bbdcf64265d5360eecb4e594
2138362,My Gal Loves Music,,1,1944,,M2412,,,,,bee8c176d2c7c6afd41ae2a73caf08b4
724221,(#1.11),,7,2010,,,724218,1,11,,b6de6e753c3035e0e007c8ef5575fe9d
1185047,Madness,,7,2012,,M352,1185025,1,24,,82e2f0fd40f39fabdf02f94b91c30f29
101193,Squeeze Rockin' Freak Painting or Pumpkin Pies Plymptoon,,7,2006,,S2625,101172,2,1,,cf30dbefb48c6a3de8c9797a1e498dd5
133148,Did You Win?,,7,2012,,D35,133147,1,13,,0f718d7ed363df8564c2a5768a485e73
1936574,Hans Moser ganz privat,,3,1962,,H5252,,,,,9772d6a51756415724e772a4517bbc53
480230,Love Is in the Air,,7,2005,,L1253,480205,,,,55f3631864e62ac4d8bb5e61bfacea7e
2120346,Ming-keu-ko-teu,,1,2011,,M523,,,,,4e6604b57a20ccac064771dc43e64f9d
2277111,Sexual Olympics 2,,1,1992,,S2451,,,,,33af4d9281c4e4d852722e3c8e8e2c89
655473,27 novembre 2010,,7,2010,,N1516,655456,2,11,,88d844b1d549efcb6b4d7c2ffbda7ad8
