1298094,2438983,99,0000001212,
770340,1880946,99,0000012102,
1364620,2511059,100,8,
592123,1691776,100,22,
805874,1919524,101,8.1,
224820,696296,99,....122..3,
1140243,2275164,99,1.23....11,
552950,1647922,101,2.0,
911230,2031061,100,94,
1317766,2460048,100,9,
978633,2102719,99,1.....1..6,
888039,2008041,99,....11..15,
253851,799431,99,0...1222.1,
308328,956410,99,5..0..0002,
1113128,2247282,101,6.5,
302323,930457,100,14,
1323334,2466367,100,9,
914397,2034647,99,...10.2202,
790337,1902777,101,4.6,
456235,1371674,100,72,
415432,1276016,100,27,
309210,960218,99,00.0001213,
235199,728689,101,7.3,
998230,2123178,100,13,
237030,744002,99,2000000003,
143009,456405,101,6.7,
1097629,2230612,100,33,
51570,156163,99,2....22.22,
1308460,2450284,100,44,
1262745,2400970,99,0..0....07,
942586,2065198,100,33,
592523,1692141,101,6.7,
737610,1844516,99,0..0000125,
204408,624321,99,00..002203,
1226292,2363327,99,....100312,
1208520,2344618,99,.....26.2.,
624774,1726716,99,0.01002201,
521199,1565699,99,0.0.312001,
73229,211885,101,8.4,
1354583,2500583,101,7.2,
1172338,2308101,100,76,
642661,1745451,100,36,
839922,1955681,99,3.002200.0,
392762,1211413,101,7.1,
614857,1716413,100,11,
950188,2072915,100,15,
121746,380730,99,.....21212,
712999,1819653,100,17,
350207,1096594,101,7.9,
1060208,2191062,101,6.0,
119285,371030,101,7.8,
586676,1686236,101,5.2,
141613,453702,100,21,
319293,1007019,99,..0.001312,
563033,1671207,101,6.1,
1311249,2453334,99,2......116,
953437,2076443,100,220,
22753,71494,100,17,
132715,397088,100,23,
1079418,2210988,99,.0.0003210,
298024,913854,100,9,
51044,155201,101,5.0,
1331198,2474986,101,5.7,
1107777,2241736,99,33..111...,
1110461,2244659,101,4.0,
589529,1689147,101,6.7,
246353,773799,101,7.0,
1325255,2469199,101,5.3,
494311,1470842,100,37,
312760,975988,100,14,
25237,74060,100,8,
1155044,2290192,101,5.5,
60277,174807,100,115,
398521,1233304,100,8,
900676,2020583,100,17,
749993,1857926,101,7.3,
1134085,2268516,100,15,
1114717,2248622,100,1679,
632976,1735462,99,0000000114,
730580,1837578,101,6.6,
216620,662898,101,5.5,
310772,968140,101,4.8,
925137,2046579,99,...11301.0,
1293223,2433638,100,10,
234307,725684,100,11,
1124626,2258745,100,18,
547203,1641164,99,22.4....2.,
1102736,2236118,101,5.8,
1104114,2237623,99,3220.1....,
1068368,2199573,101,7.0,
968516,2092158,101,6.2,
227008,702666,100,9,
