55986,reference-to-walton-harris-walker,R1652
17303,crying-girl,C6526
9078,pay-phone,P15
15185,library-card,L1626
125790,touring-ice-show,T652
57351,giant-scorpion,G5326
29872,dante-alighieri-quotation,D5342
111667,decorum,D265
113280,baby-toy,B13
112062,archetectural-model-of-a-building,A6232
45890,gustav-i-of-sweden,G2312
100693,sleeping-on-a-bus,S4152
74634,overweight-teenage-boy,O1623
119219,mobile-business,M1412
98321,bent-sword,B5326
36886,dhaka-bangladesh,D2152
9761,sale,S4
102133,match-girl,M3264
32067,walbrzyska-street,W4162
127065,fort-norman,F6356
103640,fatal-sexually-transmissible-disease,F3424
85569,flickapalooza,F4214
8200,marvel-cinematic-universe,M6142
62608,pusher,P26
107704,electrical-wire-attached-to-testicles,E4236
49369,jumping-onto-truck,J5152
72512,aunt-niece-incest,A5352
97442,channel-20,C54
10901,reference-to-heath-ledger,R1652
73131,calling-for-one's-pet,C4521
64611,london-athletic-club,L5353
120370,reference-to-bobby-orr,R1652
35346,plea-for-forgiveness,P4161
53227,babushka,B12
112655,loving-the-other,L1523
32279,south-pacific,S3121
86989,golf-caddy,G4123
128143,green-dragoons,G6536
89502,juvenile-correctional-facility,J1542
67111,possibility,P2143
68207,merchant-ship,M6253
112445,brazilian-art,B6245
129891,carrying-a-dead-body-in-a-bedsheet,C6523
54906,clarence-seward-darrow--quotation,C4652
12081,political-aspiration,P4324
121020,dva,D1
68674,reference-to-beau-brummell,R1652
11794,reference-to-adam-and-eve,R1652
114051,loos-france,L2165
102214,improvised-snorkel,I5161
11923,left-wing,L1352
36423,cut-telephone-line,C3415
29619,cleaning-a-floor,C4521
8500,magnet,M253
57013,handcuffed-man,H5321
18653,arrow-in-back,A6512
20891,mental-institution,M5345
12537,chinese-writing,C5263
77652,connecticut-mountains,C5232
9126,balance,B452
49538,naval-blockade,N1414
83109,violent-man,V4535
53416,reference-to-cheetos,R1652
79385,lineage,L52
61538,cooperation-with-enemy,C1635
26780,collision-course,C4252
26134,broken-bowl,B6251
78132,spycam,S125
69992,chained-to-ceiling,C5324
65406,birth-adoption,B6313
75897,orchestra-leader,O6236
86326,ship-scuttling,S1234
68949,acting-like-a-flower,A2352
123627,chase-on-a-boat,C2513
88917,stabbed-with-hook,S3132
102238,ends-with-crying,E5323
119570,former-tenant,F6563
63297,based-on-greek-tragedy,B2352
38768,inline-skates,I5452
74626,calaveras-county,C4162
62974,seltzer,S4326
115667,slander-book,S4536
15695,historical-portrait,H2362
99633,reference-to-jack-anderson,R1652
119224,bacardi-151,B263
122639,staten,S35
9286,cooking-sherry,C2526
129525,recovered-footage,R2163
10862,wife-beater,W136
74769,man-on-a-toilet,M5343
101500,bradley-university,B6345
85880,nightclub-explosion,N2324
36207,gondwana,G535
46010,exploding-factory,E2143
23812,gun-tucked-into-underwear,G5323
117858,carving-in-bullet,C6152
66895,volvo-p1800,V41
54850,radar-mapping,R3651
2058,kill-witness,K4352
9718,horse's-hooves,H6212
62092,dead-flower,D3146
97351,oberlin-college,O1645
63235,hedge,H32
50487,national-weather-service,N3543
51212,cordless-drill,C6342
104381,pregnant-prostitute,P6253
128984,mitsubishi-eclipse,M3212
45081,changing-clothes-behind-a-screen,C5252
102497,original-artist,O6254
83249,oath-of-allegiance,O3142
108379,kanak,K52
72483,28-year-old,Y643
31051,famous-score,F526
129204,banging-on-wall,B5252
129598,reference-to-romper-room,R1652
945,spontaneous-combustion,S1535
52515,reference-to-cesar-chavez,R1652
131869,buzzsawed-in-the-groin,B2353
123667,back-lot,B243
52659,media-framing,M3165
52041,akashi-kaikyo-bridge,A2163
98957,decades,D232
33748,refusing-to-obey-orders,R1252
80353,biting-someone's-neck,B3525
118734,kidney-heist,K3523
71310,music-computer,M2513
34654,sammy-davis-jr.,S5312
50922,punching-the-air,P5252
103370,code-red,C363
10923,tidal-wave,T341
53783,antislavery,A5324
108589,fear-of-listening-devices,F6142
91251,throwing-food-on-a-wall,T6521
33580,refuge,R12
70091,turn-things-to-toy,T6535
58235,latvian,L315
131461,ultra,U436
86254,chain-fucking,C5125
130001,chestnut-hill-academy,C2353
120140,santoor,S536
334,psychology,P242
115973,german-weapon,G6515
20313,beginnings,B252
26478,waking-up-early,W2521
117381,singing-around-piano,S5252
106536,outlawed,O343
73737,talking-genitals,T4252
55399,yellow-paint,Y4153
70108,child-as-an-adult,C4325
103811,fear-of-sunlight,F6125
98845,tangsang-basin-mongolia,T5252
99152,librettist,L1632
59385,cue-ball,C14
12355,test-of-love,T2314
20958,swimming-underwater,S5253
67538,gravitational-forces,G6135
55043,bartlett-pear,B6343
6482,horny-female,H6515
95481,monster-sex,M5236
82367,red-brief,R3161
51405,sash,S2
71268,boring-someone-to-sleep,B6525
101283,ship's-graveyard,S1261
24718,gynecological-exam,G5242
70951,soviet-union-history,S1352
48409,elba-island,E4124
63660,secret-from-stepfamily,S2631
93412,technical-university-of-berlin,T2524
91005,country-and-western-band,C5365
48422,crime-story,C6523
49305,self-tightening-knot,S4132
91358,northeast-airlines,N6323
98752,porn-tv-advertisement,P6531
13073,ark,A62
72271,miles-per-hour,M4216
82236,explosive-collar,E2142
3573,lie,L
86750,out-of-town,O3135
30212,three-stories,T6236
117114,theta,T3
88258,cervantes,C6153
31851,memorized-letter,M5623
