13319,84081,2230120,7
7271,44049,226535,5
11539,74542,1876298,9
4815,19690,1811349,5
1954,7562,1279283,9
7966,53281,2324351,5
14915,96465,2401568,7
4977,22080,1043613,9
23946,133187,1499865,6
1991,7718,1637630,1
18536,117011,117010,3
9236,62482,62483,2
9902,71432,71491,16
19663,136098,2479509,13
21568,122690,2248142,5
9254,62487,62483,2
13784,84154,2387041,7
14602,92956,2239080,15
7592,47723,905807,6
23620,132370,464937,10
25872,141553,2020394,5
12820,81467,2501976,5
18264,114447,1746485,13
10054,71481,71430,10
28535,155620,2130485,7
3448,11229,1674426,5
19025,135182,116493,13
20213,122599,2509789,5
1594,7352,2416227,9
10902,73710,1432974,10
11799,74606,2347721,9
8004,53473,53259,13
23647,132370,84092,6
22421,129396,129363,9
17350,110807,1125797,9
28461,154385,2043148,5
8036,54291,100306,6
592,5891,2506545,1
24971,138675,1994464,6
18383,115392,1035702,13
19510,135902,2343266,13
11977,74688,1835478,9
27474,148567,1011655,5
22,85,1946415,6
1170,7324,2400559,9
26212,142294,142277,2
5505,28449,371163,5
5552,29097,1744277,5
8524,55507,842337,6
22026,125375,1885046,5
20560,122621,1884380,5
23292,132249,1567946,6
4960,22073,1088609,9
14711,93687,2116740,5
26993,147178,1924835,5
13041,82196,2342627,6
71,358,2374603,7
6754,38892,378941,5
5675,32236,1798177,13
23360,132249,2019142,6
14002,84170,2200433,5
15199,97372,313220,13
9142,61231,1218625,6
7502,46519,865179,13
24360,133643,472017,6
7491,46517,1967538,16
7201,44034,227209,6
958,7308,1934756,9
17345,110807,359586,9
19186,135225,2427364,13
26334,142305,142280,2
9931,71440,1997177,5
114,681,2267134,10
10752,73021,2342566,6
9182,61307,2276653,5
22483,129503,1975285,5
26848,146340,1802504,9
13378,84090,1380043,5
10789,73091,1924105,6
5561,29103,2361709,5
19827,121236,1283078,6
11040,73710,1124392,6
24407,133643,942208,6
21012,122655,370467,5
11160,73710,1432416,6
29199,159642,2387227,9
20579,122622,2351849,5
22719,129983,138859,8
12463,79116,2360465,9
1634,7357,886845,9
12041,74688,2381488,9
11372,73711,2419110,5
2719,11118,1196877,5
12997,81673,1988624,9
9285,62633,2045538,10
27154,148136,1089902,6
25341,138924,138923,1
