112013,2150421,2,4
46065,2119419,1,4
65662,1271867,1,3
28087,2527020,1,4
122836,2350229,2,4
118582,1154937,2,3
47166,2128408,1,3
60874,1167312,1,3
54005,1043635,1,3
96478,384765,2,3
81284,2465435,1,4
125279,2376992,2,3
42510,2077687,1,4
110629,876688,2,3
20011,1844340,1,4
73461,2527948,1,3
122755,1287677,2,3
75335,2407432,1,4
43332,2089341,1,3
6290,1713540,1,3
108812,2087080,2,4
99256,482619,2,3
86521,2526437,2,3
12568,2526686,1,3
46916,880212,1,3
79350,2440253,1,4
7124,145267,1,3
42862,2083868,1,3
14981,1799741,1,4
60107,2285155,1,3
13614,1784200,1,3
84644,2503538,1,3
34728,1976942,1,3
112973,2163004,2,3
117507,2267141,2,3
77721,1444391,1,3
104016,1980013,2,3
64173,1239674,1,3
89606,1714597,2,3
92189,211147,2,3
131080,1487981,2,3
11968,1767754,1,3
84082,2498348,1,3
104759,672579,2,3
3068,1678687,1,3
117775,2271459,2,3
65424,1270827,1,3
120852,2340895,2,4
125329,2378377,2,3
49094,929600,1,3
128480,2414066,2,3
92861,232624,2,3
58523,2267263,1,4
100522,527306,2,3
100033,460340,2,3
78519,2429135,1,4
82663,2482912,1,3
112217,2151015,2,3
70059,2368421,1,4
55677,2236197,1,4
38414,2035862,1,3
122711,1287529,2,3
52086,1003386,1,4
79260,1471624,1,3
3215,1652860,1,3
54650,1055367,1,3
87663,341,2,3
129212,1432402,2,3
108369,787337,2,3
132962,1560619,2,4
100334,1913069,2,3
70629,1334518,1,3
9770,190193,1,4
23168,428786,1,3
68146,2354432,1,3
63297,2321001,1,4
72689,2387112,1,4
86633,40816,2,4
75209,1405130,1,3
46962,2126702,1,3
18165,357437,1,3
12775,233635,1,3
106634,757096,2,3
115597,1058830,2,3
6307,1713772,1,3
79906,2444688,1,3
15881,1811880,1,3
16531,2526800,1,4
125710,1349968,2,3
22745,1855876,1,3
28913,1922123,1,4
43289,2525342,1,3
66141,1278677,1,4
121806,1281224,2,3
7277,1724382,1,4
30713,571340,1,3
12131,1769243,1,3
126554,1366274,2,3
62120,2308196,1,3
15726,1808725,1,4
93407,260492,2,3
30643,571051,1,3
121067,1270771,2,3
51684,2187119,1,3
13503,253941,1,4
46886,880179,1,3
79461,2442245,1,3
58386,2265820,1,3
91832,203871,2,3
15548,1806603,1,3
106962,763148,2,3
13097,1778635,1,3
65751,1272111,1,3
1178,40771,1,4
47674,896302,1,3
92726,1771990,2,3
42514,2077721,1,3
83328,1562933,1,3
4535,1694860,1,4
88585,97687,2,3
62470,1196948,1,3
843,1662901,1,4
2244,1673378,1,3
89425,125369,2,3
35413,654062,1,3
105842,2025002,2,3
110448,2116123,2,4
26284,483830,1,3
105656,2022920,2,3
110825,880210,2,3
32621,591752,1,3
